,second,Volt,Volt.1
163,-0.0837,-0.8442210965,-0.0402010046
164,-0.0836,-0.8442210965,-0.0402010046
165,-0.08349999999999999,-0.8442210965,-0.0442211051
166,-0.08339999999999999,-0.8442210965,-0.0402010046
167,-0.0833,-0.8643215988,-0.0361809041
168,-0.0832,-0.8643215988,-0.0402010046
169,-0.08310000000000001,-0.8643215988,-0.0402010046
170,-0.083,-0.8643215988,-0.0402010046
171,-0.0829,-0.8442210965,-0.0361809041
172,-0.0828,-0.8844221011,-0.0361809041
173,-0.08270000000000001,-0.8643215988,-0.0361809041
174,-0.0826,-0.8643215988,-0.0361809041
175,-0.0825,-0.8643215988,-0.0361809041
176,-0.0824,-0.8844221011,-0.0321608037
177,-0.0823,-0.8844221011,-0.0361809041
178,-0.08220000000000001,-0.8844221011,-0.0361809041
179,-0.0821,-0.8844221011,-0.0361809041
180,-0.082,-0.8844221011,-0.0321608037
181,-0.0819,-0.8844221011,-0.0361809041
182,-0.0818,-0.9045226034,-0.0321608037
183,-0.0817,-0.8844221011,-0.0321608037
184,-0.0816,-0.8844221011,-0.0321608037
185,-0.0815,-0.9045226034,-0.0321608037
186,-0.0814,-0.9045226034,-0.0321608037
187,-0.0813,-0.9045226034,-0.0321608037
188,-0.0812,-0.9045226034,-0.0321608037
189,-0.0811,-0.9246231057,-0.0321608037
190,-0.081,-0.9045226034,-0.0321608037
191,-0.0809,-0.9246231057,-0.0321608037
192,-0.0808,-0.9246231057,-0.0281407032
193,-0.0807,-0.9246231057,-0.0321608037
194,-0.08059999999999999,-0.9045226034,-0.0281407032
195,-0.0805,-0.9246231057,-0.0321608037
196,-0.0804,-0.9246231057,-0.0281407032
197,-0.0803,-0.9246231057,-0.0281407032
198,-0.0802,-0.9246231057,-0.0281407032
199,-0.08009999999999999,-0.9246231057,-0.0281407032
200,-0.08,-0.9246231057,-0.0281407032
201,-0.0799,-0.9246231057,-0.0281407032
202,-0.0798,-0.9246231057,-0.0241206028
203,-0.0797,-0.944723608,-0.0241206028
204,-0.07959999999999999,-0.9246231057,-0.0241206028
205,-0.0795,-0.944723608,-0.0241206028
206,-0.07940000000000001,-0.944723608,-0.0241206028
207,-0.07930000000000001,-0.944723608,-0.0241206028
208,-0.0792,-0.944723608,-0.0241206028
209,-0.0791,-0.944723608,-0.0241206028
210,-0.079,-0.944723608,-0.0201005023
211,-0.0789,-0.944723608,-0.0241206028
212,-0.07880000000000001,-0.944723608,-0.0201005023
213,-0.0787,-0.944723608,-0.0201005023
214,-0.0786,-0.9246231057,-0.0241206028
215,-0.0785,-0.9648241103,-0.0201005023
216,-0.0784,-0.944723608,-0.0201005023
217,-0.07830000000000001,-0.9648241103,-0.0201005023
218,-0.0782,-0.9648241103,-0.0201005023
219,-0.0781,-0.9648241103,-0.0201005023
220,-0.078,-0.9648241103,-0.0201005023
221,-0.0779,-0.9648241103,-0.0201005023
222,-0.0778,-0.944723608,-0.0201005023
223,-0.0777,-0.9648241103,-0.0201005023
