X--Trace 1::[V(11) | V(PR1)],Y--Trace 1::[V(11) | V(PR1)],,X--Trace 2::[V(9) | V(PR2)],Y--Trace 2::[V(9) | V(PR2)]
13151.33996,1,,13151.33996,0.009702406
13457.67402,1,,13457.67402,0.008442844
13771.14352,1,,13771.14352,0.007357084
14091.91466,1,,14091.91466,0.006419284
14420.15752,1,,14420.15752,0.005607789
14756.04613,1,,14756.04613,0.00490439
15099.7586,1,,15099.7586,0.004293718
15451.47716,1,,15451.47716,0.003762765
15811.3883,1,,15811.3883,0.003300489
16179.68285,1,,16179.68285,0.002897487
16556.55607,1,,16556.55607,0.002545736
16942.20781,1,,16942.20781,0.002238373
17336.84252,1,,17336.84252,0.001969513
17740.66946,1,,17740.66946,0.001734098
18153.90274,1,,18153.90274,0.001527778
18576.76145,1,,18576.76145,0.001346797
19009.46982,1,,19009.46982,0.001187914
19452.25725,1,,19452.25725,0.001048323
19905.35853,1,,19905.35853,0.000925591
20369.01389,1,,20369.01389,0.000817608
20843.46917,1,,20843.46917,0.000722539
21328.97594,1,,21328.97594,0.000638791
21825.79161,1,,21825.79161,0.00056497
22334.17961,1,,22334.17961,0.000499866
22854.40948,1,,22854.40948,0.00044242
23386.75706,1,,23386.75706,0.000391705
23931.50462,1,,23931.50462,0.000346913
24488.94097,1,,24488.94097,0.000307334
25059.36168,1,,25059.36168,0.000272347
25643.0692,1,,25643.0692,0.000241408
26240.37301,1,,26240.37301,0.000214037
26851.58982,1,,26851.58982,0.000189815
27477.04369,1,,27477.04369,0.000168373
28117.06626,1,,28117.06626,0.000149384
28771.99687,1,,28771.99687,0.000132565
29442.18277,1,,29442.18277,0.000117661
30127.9793,1,,30127.9793,0.000104453
30829.75009,1,,30829.75009,9.27427E-05
31547.86722,1,,31547.86722,8.23591E-05
32282.71145,1,,32282.71145,7.31494E-05
33034.6724,1,,33034.6724,6.49792E-05
33804.14877,1,,33804.14877,5.77296E-05
34591.54855,1,,34591.54855,5.12956E-05
35397.28922,1,,35397.28922,4.55843E-05
36221.798,1,,36221.798,4.05137E-05
37065.51207,1,,37065.51207,3.60112E-05
37928.87875,1,,37928.87875,3.20124E-05
38812.35583,1,,38812.35583,2.84605E-05
39716.41174,1,,39716.41174,2.5305E-05
40641.52581,1,,40641.52581,2.25014E-05
41588.18856,1,,41588.18856,2.00101E-05
42556.90191,1,,42556.90191,1.7796E-05
43548.1795,1,,43548.1795,1.58281E-05
44562.54691,1,,44562.54691,1.40787E-05
45600.54197,1,,45600.54197,1.25235E-05
46662.71504,1,,46662.71504,1.11407E-05
47749.6293,1,,47749.6293,9.91122E-06
48861.86105,1,,48861.86105,8.81784E-06
50000,1,,50000,7.84547E-06
