X--Trace 1::[V(11) | V(PR1)],Y--Trace 1::[V(11) | V(PR1)],,X--Trace 2::[V(9) | V(PR2)],Y--Trace 2::[V(9) | V(PR2)]
9976.311575,0,,9976.311575,-403.4771502
10208.68972,0,,10208.68972,-405.4073421
10446.48065,0,,10446.48065,-407.1848959
10689.81045,0,,10689.81045,-408.8313728
10938.80812,0,,10938.80812,-410.3640957
11193.60569,0,,11193.60569,-411.7971699
11454.33826,0,,11454.33826,-413.1422217
11721.14408,0,,11721.14408,-414.4089404
11994.1646,0,,11994.1646,-415.6054824
12273.54458,0,,12273.54458,-416.738777
12559.43216,0,,12559.43216,-417.8147601
12851.97891,0,,12851.97891,-418.8385558
13151.33996,0,,13151.33996,-419.8146181
13457.67402,0,,13457.67402,-420.7468439
13771.14352,0,,13771.14352,-421.6386628
14091.91466,0,,14091.91466,-422.4931095
14420.15752,0,,14420.15752,-423.3128834
14756.04613,0,,14756.04613,-424.1003964
15099.7586,0,,15099.7586,-424.8578136
15451.47716,0,,15451.47716,-425.5870858
15811.3883,0,,15811.3883,-426.2899783
16179.68285,0,,16179.68285,-426.9680938
16556.55607,0,,16556.55607,-427.6228922
16942.20781,0,,16942.20781,-428.2557081
17336.84252,0,,17336.84252,-428.8677648
17740.66946,0,,17740.66946,-429.4601871
18153.90274,0,,18153.90274,-430.0340117
18576.76145,0,,18576.76145,-430.5901972
19009.46982,0,,19009.46982,-431.1296316
19452.25725,0,,19452.25725,-431.6531398
19905.35853,0,,19905.35853,-432.1614897
20369.01389,0,,20369.01389,-432.655398
20843.46917,0,,20843.46917,-433.1355345
21328.97594,0,,21328.97594,-433.6025272
21825.79161,0,,21825.79161,-434.0569654
22334.17961,0,,22334.17961,-434.4994037
22854.40948,0,,22854.40948,-434.9303648
23386.75706,0,,23386.75706,-435.3503422
23931.50462,0,,23931.50462,-435.759803
24488.94097,0,,24488.94097,-436.1591896
25059.36168,0,,25059.36168,-436.5489225
25643.0692,0,,25643.0692,-436.9294012
26240.37301,0,,26240.37301,-437.3010067
26851.58982,0,,26851.58982,-437.6641028
27477.04369,0,,27477.04369,-438.0190369
28117.06626,0,,28117.06626,-438.3661424
28771.99687,0,,28771.99687,-438.7057388
29442.18277,0,,29442.18277,-439.0381334
30127.9793,0,,30127.9793,-439.3636221
30829.75009,0,,30829.75009,-439.6824907
31547.86722,0,,31547.86722,-439.995015
32282.71145,0,,32282.71145,-440.3014625
33034.6724,0,,33034.6724,-440.6020926
33804.14877,0,,33804.14877,-440.8971573
34591.54855,0,,34591.54855,-441.1869025
35397.28922,0,,35397.28922,-441.4715679
36221.798,0,,36221.798,-441.7513881
37065.51207,0,,37065.51207,-442.0265929
37928.87875,0,,37928.87875,-442.2974084
38812.35583,0,,38812.35583,-442.5640567
39716.41174,0,,39716.41174,-442.8267575
40641.52581,0,,40641.52581,-443.0857277
41588.18856,0,,41588.18856,-443.3411825
42556.90191,0,,42556.90191,-443.5933357
43548.1795,0,,43548.1795,-443.8424004
44562.54691,0,,44562.54691,-444.0885893
45600.54197,0,,45600.54197,-444.3321153
46662.71504,0,,46662.71504,-444.5731922
47749.6293,0,,47749.6293,-444.8120353
48861.86105,0,,48861.86105,-445.0488614
50000,0,,50000,-445.2838902
